sorting number	name	instance of	date of birth	date of death	sex	occupation or domain	geographic circles	Bibliotheque nationale de France Catalogue	data.bnf	Wikidata	ISNI	VIAF	Annuaire prosopographique : la France savante	In Who Was Who in Egyptology	Note
322	Musée de Châlons-sur-Saône	organisation	unknown	unknown	no	curator	France ; Saône-et-Loire			https://www.wikidata.org/wiki/Q3329386	http://isni.org/isni/0000000121765481	http://viaf.org/viaf/144917931		no	
323	Naville, Édouard	human	1844	1926	male	archaeologist ; egyptologist ; anthropologist ; professor	Switzerland	https://catalogue.bnf.fr/ark:/12148/cb130842342	https://data.bnf.fr/ark:/12148/cb130842342	https://www.wikidata.org/wiki/Q115746	http://isni.org/isni/0000000122773934	http://viaf.org/viaf/22277258	https://cths.fr/an/savant.php?id=114972	yes	
324	Naville, J. Adrien	human	unknown	unknown	male	unknown	Switzerland							no	From Genthod (Suisse)
325	Nicaise, Auguste	human	1828	1900	male	historian ; archaeologist	France	https://catalogue.bnf.fr/ark:/12148/cb11917645c	https://data.bnf.fr/ark:/12148/cb11917645c	https://www.wikidata.org/wiki/Q2871338	http://isni.org/isni/0000000110674269	http://viaf.org/viaf/64009830	https://cths.fr/an/savant.php?id=103515	no	
326	Niepce, Léopold	human	1813	1898	male	magistrate ; local historian	France ; Saône-et-Loire ; Rhône			https://www.wikidata.org/wiki/Q55181823			https://cths.fr/an/savant.php?id=1082	no	
327	Nolte (abbé)	human	unknown	unknown	male	priest	unknown							no	
328	P.	human	unknown	unknown	unknown	unknown	unknown							no	
329	Paravey, Charles Hippolyte de	human	1787	1871	male	engineer ; egyptologist	France	https://catalogue.bnf.fr/ark:/12148/cb106624241	https://data.bnf.fr/ark:/12148/cb106624241	https://www.wikidata.org/wiki/Q16194912	http://isni.org/isni/0000000118565542	http://viaf.org/viaf/100208000		yes	
330	Pauthier, Guillaume	human	1801	1873	male	orientalist ; egyptologist	France			https://www.wikidata.org/wiki/Q3120112				yes	
331	Pavy, Octave	human	unknown	unknown	male	unknown	unknown			https://www.wikidata.org/wiki/Q15965501				no	
332	Peladan, Adrien	human	1815	1890	male	writer	France ; Rhône			https://www.wikidata.org/wiki/Q4978030			https://cths.fr/an/savant.php?id=101672	no	
333	Pereonne, E.	human	unknown	unknown	unknown	unknown	unknown							no	
334	Péretié, Aimé	human	unknown	unknown	male	collector	Lebanon ; France							no	BiÉg 9, p. CXLVII: French consul in Beyrouth (actualy chancellor of the consulate)
335	Perny, Paul	human	unknown	unknown	male	unknown	unknown	https://catalogue.bnf.fr/ark:/12148/cb11621591h	https://data.bnf.fr/ark:/12148/cb11621591h					no	
336	Pérod	human	unknown	unknown	unknown	unknown	unknown							no	
337	Pérot, J.	human	unknown	unknown	unknown	unknown	unknown							no	
338	Perrault, Ernest	human	unknown	unknown	male	unknown	France ; Saône-et-Loire							no	From Rully (Saône-et-Loire)
339	Perrault, Marie E.	human	unknown	unknown	female	unknown	unknown							no	
340	Perret, H.	human	unknown	unknown	unknown	unknown	unknown							no	Maybe Horace Perret (1853-1934, https://cths.fr/an/savant.php?id=111756), naturalist from Lyon?
341	Peut, Hippolyte	human	1809	1889	male	lawyer ; writer	unknown	https://catalogue.bnf.fr/ark:/12148/cb10368814r	https://data.bnf.fr/ark:/12148/cb10368814r					no	
342	Pierrée, Paul	human	unknown	unknown	male	unknown	unknown							no	Typo for Pierret?
343	Pierret, Paul	human	1836	1916	male	egyptologist ; curator	France			https://www.wikidata.org/wiki/Q3372011				yes	
344	Piétrement, F.	human	unknown	unknown	unknown	unknown	unknown							no	
345	Piette, Édouard	human	1827	1906	male	magistrate ; lawyer ; prehistorian ; archaeologist ; collector	France			https://www.wikidata.org/wiki/Q3579997			https://cths.fr/an/savant.php?id=102740#	no	
346	Pinelli (de), Laure	human	unknown	unknown	female	unknown	France							no	From Saint-George de Didonne (Charente-Maritime)
347	Pino, A.	human	unknown	unknown	unknown	unknown	unknown							no	
348	Pique, Paul	human	unknown	unknown	male	unknown	unknown							no	
349	Pistollet de Saint Ferjeux, Théodore	human	1808	1877	male	historian ; archaeologist	France	https://catalogue.bnf.fr/ark:/12148/cb10702510j	https://data.bnf.fr/ark:/12148/cb10702510j					no	
350	Pitra, Jean-Baptiste de	human	1812	1889	male	priest ; librarian ; archaeologist	France ; Saône-et-Loire	https://catalogue.bnf.fr/ark:/12148/cb11919948q	https://data.bnf.fr/ark:/12148/cb11919948q					no	
351	Planus, L. (abbé)	human	unknown	unknown	male	priest	unknown							no	
352	Pleyte, Willem	human	1836	1903	male	egyptologist ; curator	Netherlands			https://www.wikidata.org/wiki/Q1962883				yes	
353	Pluygers, W.G.	human	unknown	unknown	unknown	unknown	unknown							no	
354	Polson, John	human	unknown	unknown	male	unknown	unknown							no	
355	Ponthieux	human	unknown	unknown	unknown	unknown	unknown							no	
356	Préfet de Saône-et-Loire	human	unknown	unknown	male	civil servant	France ; Saône-et-Loire							no	
357	président de la Société d'agriculture du département de la Loire	human	unknown	unknown	male	unknown	France	https://catalogue.bnf.fr/ark:/12148/cb12361457h	https://data.bnf.fr/ark:/12148/cb12361457h					no	
358	Président du corps législatif	human	unknown	unknown	male	politician	France ; Paris							no	
359	Prisse d'Avennes (Madame)	human	unknown	unknown	female	unknown	France							no	
360	Prisse d'Avennes, Émile	human	1807	1879	male	egyptologist ; engineer ; artist	France			https://www.wikidata.org/wiki/Q2317861				yes	Given in brackets by the catalogue
361	Pruner Bey	human	1808	1883	male	doctor ; archaeologist ; prehistorian	France ; Paris			https://www.wikidata.org/wiki/Q108545			https://cths.fr/an/savant.php?id=107900	yes	Pruner, Franz Ignaz; German who lived in Egypt, then in Paris (1860-1870: it is during this time he wrote to Chabas), then in Italy.
363	Rabut, Laurent	human	unknown	unknown	male	unknown	unknown	https://catalogue.bnf.fr/ark:/12148/cb10327436w	https://data.bnf.fr/ark:/12148/cb10327436w					no	
364	Recteur de l'Académie de Lyon	human	unknown	unknown	male	professor	France							no	
365	Rédaction du Progrès de Saône-et-Loire	organisation	unknown	unknown	no	unknown	Saône-et-Loire ; France	https://catalogue.bnf.fr/ark:/12148/cb32844096p	https://data.bnf.fr/ark:/12148/cb32844096p					no	
366	Reinhardt	human	unknown	unknown	unknown	unknown	unknown							no	
367	Reinisch (docteur)	human	1832	1919	male	egyptologist ; linguist	Austria	https://catalogue.bnf.fr/ark:/12148/cb12156206q	https://data.bnf.fr/ark:/12148/cb12156206q					?	The same as Léo S.?
368	Reinisch, Léo S.	human	1832	1919	male	linguist ; egyptologist	Austria			https://www.wikidata.org/wiki/Q85753				yes	The same as the doctor?
369	Reinwald, Charles	human	1812	1891	male	bookseller	France	https://catalogue.bnf.fr/ark:/12148/cb10450329f	https://data.bnf.fr/ark:/12148/cb10450329f					no	
370	Renaud, Félix	human	1832	1907	male	politician	France	https://catalogue.bnf.fr/ark:/12148/cb13381231t	https://data.bnf.fr/ark:/12148/cb13381231t	https://www.wikidata.org/wiki/Q3092587		http://viaf.org/viaf/311431435		no	
371	Révillout, Eugène	human	1843	1913	male	historian ; archaeologist ; anthropologist ; egyptologist ; linguist ; curator	France	https://catalogue.bnf.fr/ark:/12148/cb12283515k	https://data.bnf.fr/ark:/12148/cb12283515k	https://www.wikidata.org/wiki/Q1347441	http://isni.org/isni/0000000121451714	http://viaf.org/viaf/100206616		yes	
372	Revue archéologique	organisation	unknown	unknown	no	unknown	France			https://www.wikidata.org/wiki/Q3428620				no	
373	Rey, N.	human	unknown	unknown	unknown	unknown	unknown							no	
374	Reydellet, H. de	human	unknown	unknown	unknown	unknown	unknown							no	
375	Reynaud, Michel	human	unknown	unknown	male	unknown	unknown							no	
376	Rhoné, Arthur	human	1836	1910	male	traveller ; writer	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb13777287c	https://data.bnf.fr/ark:/12148/cb13777287c	https://www.wikidata.org/wiki/Q2865304	http://isni.org/isni/0000000110093413	http://viaf.org/viaf/123258233	https://cths.fr/an/savant.php?id=104735	yes	
377	Ricard	human	unknown	unknown	unknown	unknown	unknown							no	
378	Ricard, H.	human	unknown	unknown	unknown	unknown	unknown							no	
379	Ricard, M.	human	unknown	unknown	unknown	unknown	unknown							no	
380	Ricard, P.	human	unknown	unknown	unknown	unknown	unknown							no	
381	Ricketts Cooper, William	human	1843	1878	male	orientalist	United Kingdom			https://www.wikidata.org/wiki/Q18534965	http://isni.org/isni/0000000061234565	http://viaf.org/viaf/24999764		no	
382	Rivières, Edmond de	human	unknown	unknown	male	unknown	unknown							no	
383	Robert, Ch.	human	unknown	unknown	unknown	unknown	unknown							no	Different friom Pierre-Charles?
384	Robert, L.	human	unknown	unknown	unknown	unknown	unknown							no	
385	Robert, Pierre-Charles	human	1812	1887	male	archaeologist ; numismatist	France	https://catalogue.bnf.fr/ark:/12148/cb123445829	https://data.bnf.fr/ark:/12148/cb123445829	https://www.wikidata.org/wiki/Q20819296	http://isni.org/isni/0000000107989585	http://viaf.org/viaf/34531610		no	
386	Robien, Félix	human	unknown	unknown	male	unknown	unknown							no	
387	Rodenbach, Constantin-Auguste	human	unknown	unknown	male	unknown	unknown							no	
388	Rolland, A. (abbé)	human	unknown	unknown	male	priest	France							no	From Arras (Pas-de-Calais)
389	Romieu, Auguste	human	1800	1855	male	curator ; civil servant	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb12181021g	https://data.bnf.fr/ark:/12148/cb12181021g	https://www.wikidata.org/wiki/Q2871387	http://isni.org/isni/0000000107773506	http://viaf.org/viaf/12351172	https://cths.fr/an/savant.php?id=101966	yes	
390	Rosny, Léon de	human	1837	1914	male	anthropologist ; linguist ; orientalist	France	https://catalogue.bnf.fr/ark:/12148/cb11922640n	https://data.bnf.fr/ark:/12148/cb11922640n	https://www.wikidata.org/wiki/Q3028656	http://isni.org/isni/0000000368532436 ; http://isni.org/isni/0000000105769693	http://viaf.org/viaf/64653606	https://cths.fr/an/savant.php?id=1064	no	
391	Rossi, Emilia	human	unknown	unknown	female	unknown	unknown							no	
392	Rossi, Francesco	human	1827	1912	male	egyptologist ; curator	Italy	https://catalogue.bnf.fr/ark:/12148/cb107444290	https://data.bnf.fr/ark:/12148/cb107444290					yes	
393	Rougé, Emmanuel de	human	1811	1872	male	professor ; archaeologist ; egyptologist ; curator ; politician ; civil servant	France	https://catalogue.bnf.fr/ark:/12148/cb123351571	https://data.bnf.fr/ark:/12148/cb123351571	https://www.wikidata.org/wiki/Q2087467	http://isni.org/isni/0000000066324850	http://viaf.org/viaf/22213246	https://cths.fr/an/savant.php?id=102953	yes	
394	Roulleaux-Dugage (Madame)	human	1821	1894	female	unknown	France			https://www.wikidata.org/wiki/Q20643644				no	
395	Saint-Ferriol, L. de	human	unknown	1877	male	collector	France			https://www.wikidata.org/wiki/Q86436848				no	BiÉg 9, p. XXII
396	Saint-Mauris, René de	human	1837	1883	male	historian ; archivist	France ; Saône-et-Loire	https://catalogue.bnf.fr/ark:/12148/cb106347283	https://data.bnf.fr/ark:/12148/cb106347283	https://www.wikidata.org/wiki/Q34488860	http://isni.org/isni/0000000000081147	http://viaf.org/viaf/61535788	https://cths.fr/an/savant.php?id=1910	no	
397	Saint-René Taillandier	human	1817	1879	male	historian ; professor ; writer ; politician ; civil servant	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb125557265	https://data.bnf.fr/ark:/12148/cb125557265	https://www.wikidata.org/wiki/Q3463272	http://isni.org/isni/0000000121282762	http://viaf.org/viaf/37032232	https://cths.fr/an/savant.php?id=124620	no	Other letters may be adressed to him as Public Eductation minister
398	Saint-Sulpice, J. de, secrétaire d'Émile Guimet	human	unknown	unknown	male	unknown	France ; Rhône							no	See also 'The secretary of É. Guimet', maybe the same person.
399	Samson, J., chef du bureau des bibliothèques du ministère de l'Instruction publique	human	unknown	unknown	male	civil servant	France							no	
400	Sandelette, Charles	human	unknown	unknown	male	unknown	unknown							no	
401	Saulcy, [Ernest de?]	human	unknown	unknown	unknown	unknown	unknown							no	
402	Saulcy, de	human	unknown	unknown	unknown	unknown	unknown							?	Which one?
403	Saulcy, Félicien de	human	1807	1880	male	anthropologist ; archaeologist ; politician ; numismatist ; curator	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb12245110d	https://data.bnf.fr/ark:/12148/cb12245110d	https://www.wikidata.org/wiki/Q55072238	http://isni.org/isni/0000000357070766	http://viaf.org/viaf/195673808	https://cths.fr/an/savant.php?id=1121	yes	
404	Saulcy, J. de	human	unknown	unknown	unknown	unknown	unknown							?	
405	Sauley (de)	human			unknown	unknown	unknown							?	Typo for 'Saulcy'?
406	Sauley, de	human			unknown	unknown	unknown							?	Typoe for 'Saulcy'?
407	Savin (de)	human	unknown	unknown	unknown	unknown	unknown							no	
408	Schaeffer, Heinrich	human	1868	1957	male	egyptologist ; curator ; linguist ; archaeologist	Germany							yes	
409	Schiaparelli, Ernesto	human	1856	1928	male	anthropologist ; archaeologist ; egyptologist ; professor ; politician	Italy	https://catalogue.bnf.fr/ark:/12148/cb105572338	https://data.bnf.fr/ark:/12148/cb105572338	https://www.wikidata.org/wiki/Q1356829	http://isni.org/isni/0000000061444597	http://viaf.org/viaf/76305899		yes	
410	Schiffer, A. 	human	unknown	unknown	unknown	unknown	unknown							no	
411	Schmidt, Valdemar	human	1836	1925	male	egyptologist ; linguist ; archaeologist ; curator	Denmark	https://catalogue.bnf.fr/ark:/12148/cb153508280	https://data.bnf.fr/ark:/12148/cb153508280					yes	
412	Schneider, Valdemar	human	unknown	unknown	male	unknown	unknown							no	
413	Schnepp, Bernard (docteur)	human	unknown	unknown	male	doctor	Egypt							no	Maybe https://catalogue.bnf.fr/ark:/12148/cb10536372s ?; he nominated Chabas for membership of the Institut d’Égypte
414	Schuhl, Moïse	human	1845	1911	male	rabbi	France	https://catalogue.bnf.fr/ark:/12148/cb11924140r	https://data.bnf.fr/ark:/12148/cb11924140r	https://www.wikidata.org/wiki/Q3327088	http://isni.org/isni/0000000066409723	http://viaf.org/viaf/13206857		no	Given in brackets by the catalogue
415	Schwob, George	human	1822	1892	male	writer	Egypt			https://www.wikidata.org/wiki/Q3101904				no	Lived in Egypt; was secretary for the Institut d’Égypte and Mohamed Sherif Pasha
416	Sciama	human	1821	1889	male	engineer ; traveller	unknown	https://catalogue.bnf.fr/ark:/12148/cb16947035q	https://data.bnf.fr/ark:/12148/cb16947035q					no	
417	Secrétaire du Sénat	human	unknown	unknown	male	civil servant	France ; Paris							no	
418	Secrétaire perpétuel de l'Académie d'Archéologie de Belgique	human	unknown	unknown	male	unknown	Belgium							no	
419	secrétaire perpétuel de l'Académie de Lyon	human	unknown	unknown	male	unknown	France ; Rhône							no	
420	Secrétaire perpétuel de l'Académie des Inscriptions et Belles Lettres	human	unknown	unknown	male	unknown	France ; Paris							no	
421	Sepet, Marius	human	1845	1925	male	librarian ; historian	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb11924440k	https://data.bnf.fr/ark:/12148/cb11924440k	https://www.wikidata.org/wiki/Q3293856	http://isni.org/isni/0000000066333175	http://viaf.org/viaf/73860169	https://cths.fr/an/savant.php?id=1916	no	
422	Simon (abbé)	human	unknown	unknown	male	priest	unknown							no	The same as Jules Simon?
423	Simon, Jules	human	1814	1896	male	politician ; philosopher	France	https://catalogue.bnf.fr/ark:/12148/cb119248322	https://data.bnf.fr/ark:/12148/cb119248322	https://www.wikidata.org/wiki/Q548532	http://isni.org/isni/0000000122800445	http://viaf.org/viaf/54154379		no	The same as the abbot Simon?
424	Sire, D. (abbé)	human	1827	1917	male	priest ; professor ; hebraist	France ; Paris						https://cths.fr/an/savant.php?id=116930	no	BiÉg 9: from Saint-Sulpice
425	Smithsonian Institution	organisation	unknown	unknown	no	unknown	United States	https://catalogue.bnf.fr/ark:/12148/cb118671884	https://data.bnf.fr/ark:/12148/cb118671884	https://www.wikidata.org/wiki/Q131626	http://isni.org/isni/0000000121855671	http://viaf.org/viaf/159805885		no	
426	Société des amis des arts et des science de Tournus	organisation	unknown	unknown	no	unknown	France ; Saône-et-Loire			https://www.wikidata.org/wiki/Q28930024	http://isni.org/isni/0000000119598813	http://viaf.org/viaf/169129210		no	
427	Société des Antiquaires de France	organisation	unknown	unknown	no	unknown	France	https://catalogue.bnf.fr/ark:/12148/cb122109296	https://data.bnf.fr/ark:/12148/cb122109296	https://www.wikidata.org/wiki/Q3488100		http://viaf.org/viaf/127122397		no	
428	Society of biblical archeology	organisation	unknown	unknown	no	unknown	United Kingdom			https://www.wikidata.org/wiki/Q7552391		http://viaf.org/viaf/139573954		no	
429	Soury, Jules	human	1842	1915	male	writer ; psychologist ; librarian	France	https://catalogue.bnf.fr/ark:/12148/cb127348175	https://data.bnf.fr/ark:/12148/cb127348175	https://www.wikidata.org/wiki/Q3188917	http://isni.org/isni/0000000110225287	http://viaf.org/viaf/22266604		no	
430	Sous-Préfet de Châlons sur Saône	human	unknown	unknown	male	civil servant	France ; Saône-et-Loire							no	
431	Sous-Préfet de Châlons-sur-Saône	human	unknown	unknown	male	civil servant	France ; Saône-et-Loire							no	
432	sous-préfet de Châlons-sur-Saône	human	unknown	unknown	male	civil servant	France ; Saône-et-Loire							no	
433	Spano, Giovanni	human	1803	1878	male	anthropologist ; professor ; linguist ; archaeologist ; politician ; priest ; librarian	Italy	https://catalogue.bnf.fr/ark:/12148/cb12516825h	https://data.bnf.fr/ark:/12148/cb12516825h	https://www.wikidata.org/wiki/Q2261894	http://isni.org/isni/0000000081461634	http://viaf.org/viaf/66573835	https://cths.fr/an/savant.php?id=113938	no	
434	Stephanopole, M.A. (née [Rome])	human	unknown	unknown	female	unknown	unknown							no	
435	Tardy	human	unknown	unknown	unknown	unknown	unknown							no	Maybe Louis de Tardy de Montravel, local historian from Lyon (1823-1909 ; https://cths.fr/an/savant.php?id=105181)
436	Testa, Vittore	human	unknown	unknown	male	unknown	unknown							no	
437	Textor de Ravisi (baron)	human	1822	1902	male	military officer ; civil servant	France	https://catalogue.bnf.fr/ark:/12148/cb12397386w	https://data.bnf.fr/ark:/12148/cb12397386w	https://www.wikidata.org/wiki/Q56120436	http://isni.org/isni/000000000690663X	http://viaf.org/viaf/17307526		yes	
438	the American philosophical society Philadelphia	organisation	unknown	unknown	no	unknown	United States	https://catalogue.bnf.fr/ark:/12148/cb12148286g	https://data.bnf.fr/ark:/12148/cb12148286g	https://www.wikidata.org/wiki/Q466089	http://isni.org/isni/0000000404538561	http://viaf.org/viaf/143732195		no	
439	Theinhardt, Ferd.	human	1820	1906	male	publisher	Germany			https://www.wikidata.org/wiki/Q16214284	http://isni.org/isni/000000001121526X	http://viaf.org/viaf/17598117		no	
440	Thorbecke (ministre d'État à La Haye)	human	1798	1872	male	professor ; politician ; historian ; professor	Netherlands	https://catalogue.bnf.fr/ark:/12148/cb119483055	https://data.bnf.fr/ark:/12148/cb119483055	https://www.wikidata.org/wiki/Q182509	http://isni.org/isni/0000000081455912	http://viaf.org/viaf/66475528		no	
441	Thorin, Ernest	human	unknown	unknown	male	unknown	unknown							no	
442	Tiffany et cie (New-York, Londres et Paris)	organisation	unknown	unknown	no	unknown	France	https://catalogue.bnf.fr/ark:/12148/cb136036527	https://data.bnf.fr/ark:/12148/cb136036527	https://www.wikidata.org/wiki/Q1066858	http://isni.org/isni/0000000120350145 ; http://isni.org/isni/0000000405606853	http://viaf.org/viaf/154771285		no	Probably a letter from Horrack, who worked for the firm
443	Tolhausen, G.	human	unknown	unknown	unknown	unknown	unknown							no	
444	Tomkins, Henry George	human	unknown	unknown	male	archaeologist	United Kingdom							no	Royal Archaeological Institute member
445	Trémaux, P.	human	1818	1895	male	architect ; traveller	France ; Saône-et-Loire	https://catalogue.bnf.fr/ark:/12148/cb13013641r	https://data.bnf.fr/ark:/12148/cb13013641r					no	
446	Uriarte y Badia, Manuel de	human	unknown	unknown	male	unknown	unknown							no	
447	Valori (de)	human	unknown	unknown	unknown	unknown	unknown							no	
448	Valroger, Hyacinthe de	human	1814	1876	male	priest	unknown	https://catalogue.bnf.fr/ark:/12148/cb10713494k	https://data.bnf.fr/ark:/12148/cb10713494k	https://www.wikidata.org/wiki/Q5952330	http://isni.org/isni/0000000061469225	http://viaf.org/viaf/32823114		no	
449	Van Drival, Eugène	human	1815	1887	male	historian ; linguist ; professor ; priest	France ; Nord	https://catalogue.bnf.fr/ark:/12148/cb129829923	https://data.bnf.fr/ark:/12148/cb129829923	https://www.wikidata.org/wiki/Q20806823	http://isni.org/isni/0000000108632596	http://viaf.org/viaf/2604273	https://cths.fr/an/savant.php?id=668	no	
450	Vélain, [Charles?]	human	1845	1925	male	geologist ; geographer ; professor	France	https://catalogue.bnf.fr/ark:/12148/cb12881989s	https://data.bnf.fr/ark:/12148/cb12881989s	https://www.wikidata.org/wiki/Q2960412	http://isni.org/isni/0000000121283001	http://viaf.org/viaf/37045493	https://cths.fr/an/savant.php?id=107941	no	
451	Vicart	human	unknown	unknown	male	engineer	France ; Auvergne							no	Given in brackets by the catalogue; from the Puy-de-Dôme chief civil engineer office; BiÉg 9 p. CXXXIII: informs Chabas about Gergovia excavation
452	Vieweg, F.	human	unknown	unknown	male	bookseller	France	https://catalogue.bnf.fr/ark:/12148/cb15959082s	https://data.bnf.fr/ark:/12148/cb15959082s					no	Owner of the bookshop A. Franck, in Paris
453	Vigouroux, Fulcrain (abbé)	human	unknown	unknown	male	priest ; hebraist	France ; Paris							no	BiÉg 9, p. CXLIX: Hebrew professor in Saint-Sulpice Seminar
454	Vincent, A.J.	human	unknown	unknown	unknown	unknown	unknown							no	Joseph Abel Vincent (1813-1891, https://cths.fr/an/savant.php?id=110773), priest and local historian from Drôme?
455	Vincent, J.H.	human	unknown	unknown	unknown	unknown	unknown							no	
456	Violanova?	human	unknown	unknown	unknown	unknown	unknown							no	
457	Vogue, Achille	human	unknown	unknown	male	unknown	France							no	From Calais (Pas-de-Calais)
458	Voguë, Melchior de	human	1829	1916	male	anthropologist ; archaeologist ; diplomat ; orientalist	France	https://catalogue.bnf.fr/ark:/12148/cb11928621t	https://data.bnf.fr/ark:/12148/cb11928621t	https://www.wikidata.org/wiki/Q3304994	http://isni.org/isni/0000000118738095	http://viaf.org/viaf/22150082	https://cths.fr/an/savant.php?id=101344	no	Maybe Eugène-Melchior
459	Wagner (abbé)	human	unknown	unknown	male	priest	France							no	BiÉg 9, p. CLII cites abbot Wagner, from Pontlevoy, as one of the last disciples of Chabas with Virey; from Les Montils (Loir-et-Cher)
460	Wallon, Henri	human	1812	1904	male	politician ; historian ; professor	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb12120402t	https://data.bnf.fr/ark:/12148/cb12120402t	https://www.wikidata.org/wiki/Q589355	http://isni.org/isni/0000000109087198	http://viaf.org/viaf/64038562	https://cths.fr/an/savant.php?id=105100#	?	
461	Watteville, Oscar de	human	1824	1901	male	civil servant	France	https://catalogue.bnf.fr/ark:/12148/cb12574020b	https://data.bnf.fr/ark:/12148/cb12574020b	https://www.wikidata.org/wiki/Q47408292	http://isni.org/isni/0000000111987320	http://viaf.org/viaf/56989662	https://cths.fr/an/savant.php?id=1432	no	Given in brackets by the catalogue
462	Woodward, B.B.	human	1816	1869	male	librarian	United Kingdom			https://www.wikidata.org/wiki/Q4892939				no	
463	Wright, Bryce M.	human	unknown	unknown	male	naturalist	Belgium							no	Member of the Société malacologique de Belgique
464	Wrobleski, Émile 	human	1835	1912	male	artist	France ; Burgundy	https://catalogue.bnf.fr/ark:/12148/cb16445253v	https://data.bnf.fr/ark:/12148/cb16445253v					no	Attribution to check?
465	Young, Liston	human	unknown	unknown	male	unknown	United Kingdom							no	From London (United Kingdom)
466	Yung	human	unknown	unknown	unknown	unknown	unknown							no	Étienne Yung (1827-?, https://cths.fr/an/savant.php?id=109371), hellenist?
467	Zannoni, Antoine	human	1833	1910	male	architect ; engineer ; archaeologist	Italy	https://catalogue.bnf.fr/ark:/12148/cb10424630t	https://data.bnf.fr/ark:/12148/cb10424630t					no	An engineer in Bologna (Italy)
468	Zay, E.	human	unknown	unknown	unknown	unknown	unknown							no	
469	Zotenberg, Charles	human	unknown	unknown	male	unknown	unknown							no	
470	Zotenberg, Hermann	human	1834	1909	male	orientalist ; writer ; librarian	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb11929734p	https://data.bnf.fr/ark:/12148/cb11929734p	https://www.wikidata.org/wiki/Q347566	http://isni.org/isni/0000000118863435	http://viaf.org/viaf/51697610	https://cths.fr/an/savant.php?id=116766	no	
471	Zündel, Johannes	human	1813	1871	male	linguist	Switzerland			https://www.wikidata.org/wiki/Q55892659		http://viaf.org/viaf/49965437		yes	Given in brackets by the catalogue
